disease,symptoms,tips
Anxiety Disorder - adult,insomnia; restlessness; worry; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,sleep changes; fatigue; nausea,"Seek professional help: therapy, social support, medications"
Back Pain - pediatric,lower back pain; stiffness; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,reduced range of motion; stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),morning stiffness; swelling,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (chronic),runny nose; sneezing; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (recurrent),fever; body aches; fatigue,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (recurrent),nausea; headache; sensitivity to light; visual aura; fever,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis (chronic),vomiting; nausea; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (acute),runny nose; sneezing,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,fever; cough; chest pain; headache,See a doctor — may need antibiotics or supportive care
Asthma (recurrent),shortness of breath; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (chronic),nosebleeds; dizziness; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (acute),blurred vision; frequent urination; headache,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection (recurrent),lower abdominal pain; frequent urination; painful urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,nausea; visual disturbances; headache,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis,cough; mucus; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (acute),headache; nasal congestion; fever,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media,ear pain; hearing difficulty; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (recurrent),pus; redness; fever,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),restlessness; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression,sleep changes; fatigue; low mood; fever,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),stiffness; limited mobility; lower back pain,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis - adult,joint pain; stiffness; reduced range of motion; fever,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis - adult,joint pain; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (acute),sore throat; cough,"Rest, hydrate, saltwater gargles, OTC decongestants; consult your healthcare provider if symptoms worsen"
Influenza (chronic),chills; body aches; fever; fatigue; cough; loss of appetite,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,sensitivity to light; nausea; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis - adult,vomiting; diarrhea; fatigue,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis,sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,cough; chest pain; shortness of breath; fever,See a doctor — may need antibiotics or supportive care
Asthma - pediatric,shortness of breath; chest tightness; wheeze; cough; loss of appetite,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - adult,nosebleeds; dizziness; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,frequent urination; increased thirst; fatigue; blurred vision,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection (acute),frequent urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (chronic),headache; nausea; visual disturbances; fatigue,As for migraine; seek medical care if pattern changes
Bronchitis (chronic),mucus; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis (chronic),facial pain; runny nose; headache; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (chronic),hearing difficulty; fever; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (recurrent),pus; redness; swelling; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,restlessness; insomnia; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression,loss of interest; low mood; loss of appetite,"Seek professional help: therapy, social support, medications"
Back Pain (recurrent),lower back pain; limited mobility; nausea,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (chronic),stiffness; reduced range of motion,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis - adult,morning stiffness; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,sore throat; runny nose; sneezing; cough; nausea,"Rest, hydrate, saltwater gargles, OTC decongestants; consult your healthcare provider if symptoms worsen"
Influenza - pediatric,chills; body aches; fever; cough; fatigue,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine - pediatric,nausea; headache; visual aura; sensitivity to light; loss of appetite,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (acute),nausea; stomach pain; fatigue,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - adult,itchy eyes; nasal congestion; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (acute),shortness of breath; chest pain,See a doctor — may need antibiotics or supportive care; consult your healthcare provider if symptoms worsen
Asthma (acute),wheeze; cough; shortness of breath,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan; consult your healthcare provider if symptoms worsen"
Hypertension (acute),headache; nosebleeds; dizziness; fatigue,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (chronic),blurred vision; increased thirst; frequent urination; fatigue,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection - adult,painful urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - adult,visual disturbances; headache; headache,As for migraine; seek medical care if pattern changes
Bronchitis (acute),mucus; fatigue; mild fever; cough; nausea,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis,facial pain; nasal congestion; runny nose; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - adult,hearing difficulty; fever; fever,"Pain relief, see doctor for potential antibiotics in children; consult your healthcare provider if symptoms worsen"
Skin Infection (recurrent),redness; pain; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (acute),restlessness; palpitations; worry; insomnia,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression (chronic),sleep changes; loss of interest; low mood; fatigue; nausea,"Seek professional help: therapy, social support, medications"
Back Pain (chronic),lower back pain; stiffness; nausea,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (acute),reduced range of motion; stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis - pediatric,swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - pediatric,sneezing; runny nose; sore throat; cough,"Rest, hydrate, saltwater gargles, OTC decongestants; consult your healthcare provider if symptoms worsen"
Influenza - pediatric,chills; cough; fatigue; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine (acute),sensitivity to light; visual aura; headache; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis,nausea; vomiting; stomach pain,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (chronic),itchy eyes; sneezing,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (recurrent),chest pain; shortness of breath,See a doctor — may need antibiotics or supportive care
Asthma (acute),chest tightness; shortness of breath; wheeze,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - adult,headache; dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),increased thirst; blurred vision,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,painful urination; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (recurrent),visual disturbances; headache,As for migraine; seek medical care if pattern changes
Bronchitis - pediatric,cough; mucus; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - pediatric,runny nose; facial pain,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media - pediatric,ear pain; fever; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection (chronic),swelling; pain; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (recurrent),worry; insomnia; restlessness,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,fatigue; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain (recurrent),lower back pain; stiffness; headache,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,stiffness; reduced range of motion; joint pain; fever,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis (chronic),joint pain; morning stiffness; swelling; nausea,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,cough; sore throat; fatigue,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (recurrent),body aches; chills,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (recurrent),sensitivity to light; visual aura; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis (recurrent),stomach pain; nausea; vomiting; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (chronic),sneezing; itchy eyes; nasal congestion; runny nose; loss of appetite,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (acute),chest pain; fever; cough; shortness of breath,See a doctor — may need antibiotics or supportive care
Asthma (chronic),cough; wheeze; loss of appetite,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - pediatric,headache; dizziness; fatigue,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - adult,blurred vision; increased thirst; fatigue; fever,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (acute),lower abdominal pain; painful urination; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (acute),headache; nausea; headache,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),fatigue; cough,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis - adult,nasal congestion; headache; runny nose; facial pain,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (recurrent),fever; hearing difficulty,"Pain relief, see doctor for potential antibiotics in children; consult your healthcare provider if symptoms worsen"
Skin Infection - adult,swelling; pain; redness; nausea,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),restlessness; palpitations; insomnia; worry,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression (chronic),fatigue; sleep changes; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain,limited mobility; lower back pain; stiffness; headache,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (recurrent),joint pain; stiffness; fever,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (chronic),morning stiffness; joint pain; fatigue,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (recurrent),sneezing; runny nose,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - pediatric,fatigue; fever; loss of appetite,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - pediatric,headache; nausea; visual aura; sensitivity to light,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - adult,vomiting; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis - pediatric,sneezing; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - pediatric,chest pain; cough; fever; shortness of breath; headache,See a doctor — may need antibiotics or supportive care
Asthma (chronic),chest tightness; shortness of breath; cough; fatigue,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - adult,headache; nosebleeds; dizziness,"Lifestyle changes, medications as prescribed; regular monitoring; consult your healthcare provider if symptoms worsen"
Type 2 Diabetes (recurrent),fatigue; blurred vision; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - pediatric,lower abdominal pain; painful urination; frequent urination; nausea,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (chronic),headache; nausea,As for migraine; seek medical care if pattern changes
Bronchitis,fatigue; mucus; loss of appetite,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - pediatric,facial pain; headache; nasal congestion; runny nose; headache,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media (chronic),ear pain; hearing difficulty; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection,pus; swelling,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder,worry; restlessness; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,sleep changes; fatigue,"Seek professional help: therapy, social support, medications"
Back Pain - adult,stiffness; limited mobility; loss of appetite,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis,stiffness; reduced range of motion; joint pain; loss of appetite,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis (recurrent),joint pain; swelling; morning stiffness,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,sore throat; cough; sneezing,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,cough; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (acute),nausea; sensitivity to light; fever,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis,stomach pain; diarrhea; vomiting; nausea; nausea,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (acute),sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (acute),fever; cough; shortness of breath,See a doctor — may need antibiotics or supportive care
Asthma (chronic),shortness of breath; wheeze; chest tightness; cough; fever,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension,dizziness; nosebleeds; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,blurred vision; fatigue; frequent urination; increased thirst,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,painful urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura - pediatric,headache; visual disturbances; fatigue,As for migraine; seek medical care if pattern changes
Bronchitis (recurrent),mild fever; fatigue; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (acute),runny nose; headache; fatigue,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (recurrent),fever; hearing difficulty; ear pain; nausea,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - adult,swelling; pain; pus; redness,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (recurrent),insomnia; restlessness; palpitations; headache,"Consider therapy, lifestyle changes, medications as advised"
Depression (chronic),loss of interest; fatigue; fever,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain - adult,lower back pain; stiffness; limited mobility; fatigue,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (acute),stiffness; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis (recurrent),morning stiffness; swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,runny nose; sore throat; cough; sneezing,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,fatigue; body aches; fever; cough; nausea,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,sensitivity to light; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis (recurrent),nausea; diarrhea,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis,sneezing; nasal congestion; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia - adult,fever; chest pain,See a doctor — may need antibiotics or supportive care
Asthma (recurrent),shortness of breath; wheeze; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension (acute),dizziness; headache,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes - pediatric,increased thirst; fatigue; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (acute),frequent urination; lower abdominal pain; painful urination,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura (acute),headache; nausea; visual disturbances; headache,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis (chronic),fatigue; mucus; cough; mild fever,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis - pediatric,runny nose; headache; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - adult,fever; hearing difficulty; nausea,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - pediatric,redness; pus; pain; loss of appetite,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,insomnia; restlessness; worry,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,sleep changes; fatigue; fever,"Seek professional help: therapy, social support, medications"
Back Pain (acute),stiffness; limited mobility; lower back pain; headache,"Stay active, pain relief, physiotherapy if persistent; consult your healthcare provider if symptoms worsen"
Osteoarthritis (acute),reduced range of motion; joint pain; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis,swelling; morning stiffness; fatigue,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (chronic),cough; runny nose,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza,chills; fatigue; fever; cough,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine - adult,visual aura; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (recurrent),diarrhea; nausea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis (acute),sneezing; itchy eyes; headache,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia (chronic),shortness of breath; fever; cough; chest pain,See a doctor — may need antibiotics or supportive care
Asthma - adult,chest tightness; shortness of breath,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - pediatric,headache; dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (chronic),fatigue; frequent urination; blurred vision; fever,"Diet, exercise, glucose monitoring, medications as needed; consult your healthcare provider if symptoms worsen"
Urinary Tract Infection - pediatric,frequent urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura - adult,visual disturbances; nausea; headache; loss of appetite,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis (recurrent),cough; mucus; mild fever; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (recurrent),runny nose; facial pain; nasal congestion,"Nasal irrigation, decongestants, see doctor if prolonged; consult your healthcare provider if symptoms worsen"
Otitis Media,fever; ear pain; headache,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - adult,swelling; redness; pain; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - adult,insomnia; restlessness,"Consider therapy, lifestyle changes, medications as advised; consult your healthcare provider if symptoms worsen"
Depression - adult,fatigue; sleep changes; loss of interest,"Seek professional help: therapy, social support, medications"
Back Pain (recurrent),stiffness; lower back pain; fatigue,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (acute),reduced range of motion; stiffness,"Exercise, weight management, pain control, joint injections or surgery in severe cases"
Rheumatoid Arthritis - adult,swelling; joint pain; morning stiffness; headache,"Early rheumatology referral, DMARDs and symptom control"
Common Cold,cough; runny nose; sore throat; headache,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,fever; body aches; cough; loss of appetite,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine,headache; nausea; sensitivity to light; visual aura,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - pediatric,nausea; diarrhea; fever,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (recurrent),sneezing; itchy eyes; nasal congestion; runny nose,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia (chronic),shortness of breath; chest pain; cough; fever,See a doctor — may need antibiotics or supportive care
Asthma (recurrent),chest tightness; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - adult,dizziness; headache; nausea,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes (recurrent),increased thirst; blurred vision; fatigue,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - pediatric,painful urination; lower abdominal pain; frequent urination,"Stay hydrated, see a doctor for antibiotics if bacterial"
Migraine with Aura (acute),visual disturbances; nausea,As for migraine; seek medical care if pattern changes
Bronchitis - adult,mucus; mild fever; fatigue; cough,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis (chronic),runny nose; facial pain; nasal congestion; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media (chronic),fever; ear pain; hearing difficulty; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection - adult,redness; pain; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder (chronic),restlessness; palpitations,"Consider therapy, lifestyle changes, medications as advised"
Depression - pediatric,low mood; loss of interest; sleep changes,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain (recurrent),lower back pain; stiffness; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (acute),reduced range of motion; stiffness; fever,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis - adult,joint pain; morning stiffness; swelling; fatigue,"Early rheumatology referral, DMARDs and symptom control"
Common Cold - adult,runny nose; cough; sneezing; sore throat,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (recurrent),chills; cough; fatigue; body aches; fever,"Rest, fluids, see a doctor if severe; antiviral meds may help early; consult your healthcare provider if symptoms worsen"
Migraine - adult,visual aura; headache,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis (recurrent),stomach pain; diarrhea; fever,"Hydration (oral rehydration), rest; see doctor if severe"
Allergic Rhinitis (acute),sneezing; runny nose; nasal congestion; itchy eyes; fever,"Avoid allergen, antihistamines, nasal corticosteroid sprays"
Pneumonia,chest pain; shortness of breath; fever; cough,See a doctor — may need antibiotics or supportive care
Asthma - adult,chest tightness; shortness of breath; cough,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension - adult,headache; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring"
Type 2 Diabetes,fatigue; blurred vision,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection (recurrent),frequent urination; painful urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura - pediatric,visual disturbances; nausea,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis (acute),fatigue; mucus,"Rest, fluids; see doctor if symptoms worsen or persist"
Sinusitis (recurrent),nasal congestion; headache; facial pain; runny nose; fatigue,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - pediatric,ear pain; fever,"Pain relief, see doctor for potential antibiotics in children"
Skin Infection,swelling; pus,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,worry; insomnia; loss of appetite,"Consider therapy, lifestyle changes, medications as advised"
Depression - adult,loss of interest; low mood; fatigue; loss of appetite,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain - pediatric,limited mobility; stiffness; lower back pain,"Stay active, pain relief, physiotherapy if persistent; consult your healthcare provider if symptoms worsen"
Osteoarthritis,reduced range of motion; stiffness; joint pain; fatigue,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis,swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control"
Common Cold (recurrent),cough; runny nose,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza (chronic),fatigue; chills; body aches; fever; headache,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (chronic),visual aura; headache; nausea,"Rest in a dark quiet room, OTC pain relief, avoid triggers; consult your healthcare provider if symptoms worsen"
Gastroenteritis,nausea; stomach pain; diarrhea; vomiting; headache,"Hydration (oral rehydration), rest; see doctor if severe; consult your healthcare provider if symptoms worsen"
Allergic Rhinitis (acute),runny nose; nasal congestion; sneezing; itchy eyes,"Avoid allergen, antihistamines, nasal corticosteroid sprays; consult your healthcare provider if symptoms worsen"
Pneumonia (acute),shortness of breath; fever,See a doctor — may need antibiotics or supportive care; consult your healthcare provider if symptoms worsen
Asthma (chronic),shortness of breath; cough; chest tightness,"Inhalers (bronchodilators), avoid triggers, see clinician for an action plan"
Hypertension,dizziness; nosebleeds,"Lifestyle changes, medications as prescribed; regular monitoring; consult your healthcare provider if symptoms worsen"
Type 2 Diabetes (chronic),fatigue; increased thirst; frequent urination,"Diet, exercise, glucose monitoring, medications as needed"
Urinary Tract Infection - adult,frequent urination; lower abdominal pain,"Stay hydrated, see a doctor for antibiotics if bacterial; consult your healthcare provider if symptoms worsen"
Migraine with Aura (chronic),headache; nausea; visual disturbances,As for migraine; seek medical care if pattern changes; consult your healthcare provider if symptoms worsen
Bronchitis - pediatric,cough; fatigue,"Rest, fluids; see doctor if symptoms worsen or persist; consult your healthcare provider if symptoms worsen"
Sinusitis (recurrent),nasal congestion; facial pain; headache,"Nasal irrigation, decongestants, see doctor if prolonged"
Otitis Media - pediatric,hearing difficulty; fever,"Pain relief, see doctor for potential antibiotics in children; consult your healthcare provider if symptoms worsen"
Skin Infection (recurrent),pus; pain,"Keep clean, see doctor for antibiotics if spreading or severe"
Anxiety Disorder - pediatric,insomnia; worry; restlessness,"Consider therapy, lifestyle changes, medications as advised"
Depression,sleep changes; loss of interest; fever,"Seek professional help: therapy, social support, medications; consult your healthcare provider if symptoms worsen"
Back Pain,stiffness; lower back pain; limited mobility,"Stay active, pain relief, physiotherapy if persistent"
Osteoarthritis (recurrent),reduced range of motion; joint pain,"Exercise, weight management, pain control, joint injections or surgery in severe cases; consult your healthcare provider if symptoms worsen"
Rheumatoid Arthritis - pediatric,morning stiffness; swelling; joint pain,"Early rheumatology referral, DMARDs and symptom control; consult your healthcare provider if symptoms worsen"
Common Cold,cough; sneezing,"Rest, hydrate, saltwater gargles, OTC decongestants"
Influenza - adult,fever; body aches,"Rest, fluids, see a doctor if severe; antiviral meds may help early"
Migraine (acute),visual aura; headache; nausea; fever,"Rest in a dark quiet room, OTC pain relief, avoid triggers"
Gastroenteritis - adult,diarrhea; nausea; vomiting,"Hydration (oral rehydration), rest; see doctor if severe"
